Train AUROC,Validation AUROC,Test AUROC,Train AUPRC,Validation AUPRC,Test AUPRC, Execution Time
1.0,0.837976947368421,0.8841056842105265,1.0,0.48931652631578954,0.5091312631578947,
1.0,0.840600105263158,0.8830964736842105,1.0,0.45213447368421045,0.5595865263157895,
1.0,0.8316028947368421,0.8736396842105263,1.0,0.5246294210526316,0.5224697368421052,
1.0,0.8169655263157894,0.8688405263157893,1.0,0.4796012631578947,0.5295021052631579,
1.0,0.8401183157894738,0.8717971578947367,1.0,0.44927973684210526,0.5241463684210526,
=average(A2:A6),=average(B2:B6),=average(C2:C6),=average(D2:D6),=average(E2:E6),=average(F2:F6),=average(G2:G6)
