TrainVal AUROC,Validation AUROC,Test AUROC,TrainVal AUPRC,Validation AUPRC,Test AUPRC, Execution Time
0.9999985789473684,0.8939793684210524,0.8913333684210527,0.9999898947368422,0.5243614210526315,0.5439714210526315,
1.0,0.8885543684210525,0.8933095789473685,1.0,0.5907469473684209,0.5082386315789474,
1.0,0.8803538421052631,0.8907536842105264,1.0,0.5179277894736843,0.5597678947368422,
0.999997947368421,0.8949291578947367,0.8961476842105264,0.9999773684210526,0.6216158421052631,0.4988472631578946,
=average(A2:A6),=average(B2:B6),=average(C2:C6),=average(D2:D6),=average(E2:E6),=average(F2:F6),=average(G2:G6)
