MAE,MSE,RMSE
0.7171399999999999,0.6659701428571427,
0.7171399999999999,0.6659701428571427,
0.7171399999999999,0.6659701428571427,
0.7171399999999999,0.6659701428571427,
0.7171399999999999,0.6659701428571427,
=average(A2:A6),=average(B2:B6),=average(C2:C6)
