Generation, Fitness
0,9999.185635714286
1,9999.187114285714
2,9999.188328571428
3,9999.19152857143
4,9999.192114285714
5,9999.192428571429
6,9999.192428571429
7,9999.192428571429
8,9999.192428571429
9,9999.192428571429
10,9999.192428571429
11,9999.192428571429
12,9999.192428571429
13,9999.192464285714
14,9999.192464285714
15,9999.192464285714
16,9999.192464285714
17,9999.192464285714
18,9999.192464285714
19,9999.192464285714
20,9999.192464285714
21,9999.192464285714
22,9999.192464285714
23,9999.192464285714
24,9999.192464285714
25,9999.192464285714
26,9999.192464285714
27,9999.192464285714
28,9999.192464285714
29,9999.192464285714
30,9999.192464285714
31,9999.192464285714
32,9999.192464285714
33,9999.192464285714
34,9999.192464285714
35,9999.192464285714
36,9999.192464285714
37,9999.192464285714
38,9999.192464285714
39,9999.192464285714
40,9999.192464285714
41,9999.192464285714
42,9999.192464285714
43,9999.192464285714
44,9999.192464285714
45,9999.192464285714
46,9999.192464285714
47,9999.192464285714
48,9999.192464285714
49,9999.192464285714
50,9999.192464285714
51,9999.192464285714
52,9999.192464285714
53,9999.192464285714
54,9999.192464285714
55,9999.192464285714
56,9999.192464285714
57,9999.192464285714
58,9999.192464285714
59,9999.192464285714
60,9999.192464285714
61,9999.192464285714
62,9999.192464285714
63,9999.192464285714
64,9999.192464285714
65,9999.192464285714
66,9999.192464285714
67,9999.192464285714
68,9999.192464285714
69,9999.192464285714
70,9999.192464285714
71,9999.192464285714
72,9999.192464285714
73,9999.192464285714
74,9999.192464285714
75,9999.192928571429
76,9999.192928571429
77,9999.192928571429
78,9999.192928571429
79,9999.192928571429
80,9999.192928571429
81,9999.192928571429
82,9999.192928571429
83,9999.192928571429
84,9999.192928571429
85,9999.192928571429
86,9999.192928571429
87,9999.192928571429
88,9999.192928571429
89,9999.192928571429
90,9999.192928571429
91,9999.192928571429
92,9999.192928571429
93,9999.192928571429
94,9999.192928571429
95,9999.192928571429
96,9999.192928571429
97,9999.192928571429
98,9999.192928571429
99,9999.192928571429
100,9999.192928571429
101,9999.192928571429
102,9999.192928571429
103,9999.192928571429
104,9999.192928571429
105,9999.192928571429
106,9999.192928571429
107,9999.192928571429
108,9999.192928571429
109,9999.192928571429
110,9999.192928571429
111,9999.192928571429
112,9999.192928571429
113,9999.192928571429
114,9999.192928571429
115,9999.192928571429
116,9999.192928571429
117,9999.193257142857
118,9999.193257142857
119,9999.193257142857
120,9999.193257142857
121,9999.193257142857
122,9999.193257142857
123,9999.193257142857
124,9999.193257142857
125,9999.193257142857
126,9999.193257142857
127,9999.193257142857
128,9999.193257142857
129,9999.1934
130,9999.1934
131,9999.1934
132,9999.1934
133,9999.1934
134,9999.1934
135,9999.1934
136,9999.1934
137,9999.1934
138,9999.1934
139,9999.1934
140,9999.1934
141,9999.1934
142,9999.1934
143,9999.1934
144,9999.1934
145,9999.1934
146,9999.1934
147,9999.1934
148,9999.1934
149,9999.1934
150,9999.1934
151,9999.1934
152,9999.1934
153,9999.1934
154,9999.1934
155,9999.1934
156,9999.1934
157,9999.1934
158,9999.1938
159,9999.1938
160,9999.1938
161,9999.1938
162,9999.1938
163,9999.1938
164,9999.1938
165,9999.1938
166,9999.1938
167,9999.1938
168,9999.1938
169,9999.1938
170,9999.1938
171,9999.1938
172,9999.1938
173,9999.1938
174,9999.1938
175,9999.1938
176,9999.1938
177,9999.1938
178,9999.1938
179,9999.1938
180,9999.1938
181,9999.1938
182,9999.1938
183,9999.1938
184,9999.1938
185,9999.1938
186,9999.1938
187,9999.1938
188,9999.1938
189,9999.1938
190,9999.1938
191,9999.1938
192,9999.1938
193,9999.1938
194,9999.1938
195,9999.1938
196,9999.194385714285
197,9999.194385714285
198,9999.194385714285
199,9999.194385714285
200,9999.195164285715
201,9999.195164285715
202,9999.195164285715
203,9999.195164285715
204,9999.195164285715
205,9999.195164285715
206,9999.195164285715
207,9999.195164285715
208,9999.195164285715
209,9999.195164285715
210,9999.195164285715
211,9999.195164285715
212,9999.195164285715
213,9999.195164285715
214,9999.195164285715
215,9999.195164285715
216,9999.195164285715
217,9999.195164285715
218,9999.195164285715
219,9999.195164285715
220,9999.195164285715
221,9999.195164285715
222,9999.195164285715
223,9999.195164285715
224,9999.195164285715
225,9999.195164285715
226,9999.195164285715
227,9999.195164285715
228,9999.195164285715
229,9999.195164285715
230,9999.195164285715
231,9999.195164285715
232,9999.195164285715
233,9999.195164285715
234,9999.195164285715
235,9999.195164285715
236,9999.195164285715
237,9999.195164285715
238,9999.195164285715
239,9999.195164285715
240,9999.195164285715
241,9999.195164285715
242,9999.195164285715
243,9999.195164285715
244,9999.195164285715
245,9999.195164285715
246,9999.195164285715
247,9999.195164285715
248,9999.195164285715
249,9999.195164285715
250,9999.195164285715
251,9999.195164285715
252,9999.195164285715
253,9999.195164285715
254,9999.195164285715
255,9999.195164285715
256,9999.195164285715
257,9999.195164285715
258,9999.195164285715
259,9999.195164285715
260,9999.195164285715
261,9999.195164285715
262,9999.195164285715
263,9999.195164285715
264,9999.195164285715
265,9999.195164285715
266,9999.195164285715
267,9999.195164285715
268,9999.195164285715
269,9999.195164285715
270,9999.195164285715
