MAE,MSE,RMSE
0.7039625,9.8321,2.791425,
0.7039625,9.8321,2.791425,
0.7039625,9.8321,2.791425,
0.7039625,9.8321,2.791425,
0.7039625,9.8321,2.791425,
=average(A2:A6),=average(B2:B6),=average(C2:C6)
