MAE,MSE,RMSE
507.31901875,6044381.969337501,1298.7850624999999,
505.39700625,6021780.2454062505,1296.4026250000002,
503.09765,6036908.821350001,1302.3083187500001,
503.58708125,6008629.7873875,1284.47369375,
495.88120000000004,6418120.92711875,1327.5623312500002,
=average(A2:A6),=average(B2:B6),=average(C2:C6)
