Train Accuracy, Train F1, Train WMSEnominal, Test Accuracy, Test F1, Test WMSEnominal
0.8497959183673469,0.8761391428571429,0.565117064996044,0.5639097744360902,0.6008637142857143,1.8039398125330854
0.88,0.9070467142857142,0.4972285868369502,0.6090225563909775,0.636057,1.7084598146563033
0.8799999999999999,0.9070467142857144,0.4972285868369502,0.5639097744360901,0.59957,1.97607910534632
0.8497959183673469,0.8761391428571429,0.5651170649960441,0.5488721804511278,0.5784664285714286,1.8770248591154248
0.8497959183673469,0.8761391428571429,0.5651170649960441,0.5639097744360902,NaN,1.7138309070498645
0.8497959183673469,0.8761391428571429,0.5651170649960441,0.6240601503759399,0.6389648571428573,1.6474779776687067
0.8195918367346938,0.8452315714285714,0.6330055431551379,0.5488721804511278,NaN,1.5955309209675168
0.88,0.9070467142857144,0.4972285868369502,0.5187969924812029,0.5459365714285714,2.0024858390614146
0.8514285714285714,0.8802835714285714,0.5985568961345393,0.6240601503759399,0.623774,1.551300007967507
0.9085714285714286,0.9338098571428571,0.3959002775393611,0.5338345864661653,0.588522,2.279521978135104
0.8783673469387755,0.9029022857142859,0.46378875569845496,0.5187969924812029,NaN,2.348241848754217
0.8783673469387755,0.9029022857142859,0.463788755698455,0.6240601503759399,0.6523762857142857,1.880345349757862
0.8514285714285714,0.8802835714285714,0.5985568961345393,0.5789473684210525,0.5929171428571429,1.7130834737879923
0.88,0.9070467142857142,0.4972285868369502,0.4887218045112781,0.5419227142857143,2.1390983611676524
0.8799999999999999,0.9070467142857144,0.4972285868369502,0.5037593984962406,0.5481171428571429,2.2664895860234835
0.8783673469387755,0.9029022857142859,0.46378875569845496,0.4736842105263158,NaN,2.40315802348564
0.8497959183673468,0.876139142857143,0.5651170649960441,0.6691729323308271,0.6716334285714287,1.356174054759446
0.88,0.9070467142857142,0.4972285868369502,0.6090225563909775,0.636057,1.7084598146563033
0.8497959183673469,0.876139142857143,0.5651170649960441,0.6090225563909775,0.6325115714285714,1.748284722003928
0.9085714285714285,0.9338098571428571,0.3959002775393611,0.5338345864661654,0.6060451428571428,2.389240053636649
0.8514285714285714,0.8802835714285714,0.5985568961345393,0.5789473684210525,0.578129,1.5857093470431376
0.8375510204081633,0.856142,0.567899677599418,0.5488721804511278,NaN,1.6550638140627218
0.9085714285714285,0.9338098571428571,0.3959002775393611,0.5338345864661654,0.5864818571428572,2.319214674243137
0.8799999999999999,0.9070467142857144,0.4972285868369502,0.5639097744360902,0.570348,1.9483282322149396
0.9085714285714285,0.9338098571428571,0.3959002775393611,0.5488721804511278,0.6240734285714284,2.3242653191927594
0.88,0.9070467142857144,0.4972285868369502,0.4887218045112781,0.5410677142857143,2.187585438685841
0.8799999999999999,0.9070467142857144,0.4972285868369502,0.5037593984962406,0.5669604285714287,2.2746032860056284
0.8799999999999999,0.9070467142857144,0.4972285868369502,0.5789473684210525,0.6271329999999999,2.0128198410434393
0.88,0.9070467142857143,0.4972285868369502,0.518796992481203,0.5849887142857143,2.2096285515617393
0.9085714285714285,0.9338098571428571,0.3959002775393611,0.5338345864661653,0.5856268571428572,2.367701751761325
0.8799999999999999,0.9070467142857144,0.4972285868369502,0.5639097744360901,0.59957,1.97607910534632
0.8497959183673469,0.8761391428571429,0.5651170649960441,0.47368421052631565,NaN,2.2149996439553
0.8195918367346938,0.8452315714285714,0.6330055431551379,0.5037593984962406,NaN,1.8823959515089859
0.8497959183673469,0.876139142857143,0.5651170649960441,0.5037593984962404,NaN,2.0793194096626726
0.88,0.9070467142857143,0.4972285868369502,0.6240601503759399,0.6435715714285715,1.7342466639927347
0.8799999999999999,0.9070467142857143,0.4972285868369502,0.5639097744360901,0.6165655714285715,2.109756765152621
0.8799999999999999,0.9070467142857144,0.4972285868369502,0.5939849624060151,0.6355025714285715,1.9901196128616816
0.8799999999999999,0.9070467142857143,0.4972285868369502,0.5789473684210528,0.602686142857143,1.9277202205607167
0.8497959183673468,0.876139142857143,0.5651170649960441,0.5939849624060151,0.6202645714285715,1.640342476591094
0.9085714285714285,0.9338098571428571,0.3959002775393611,0.5789473684210525,0.6469305714285715,2.195766497068667
0.8497959183673469,0.876139142857143,0.5651170649960441,0.5488721804511278,0.589217,1.942589194668799
0.8799999999999999,0.9070467142857144,0.4972285868369502,0.47368421052631565,0.5432482857142859,2.45158918564791
0.8783673469387755,0.9029022857142859,0.46378875569845496,0.5338345864661654,0.5825152857142858,2.220482199754202
0.8497959183673469,0.876139142857143,0.5651170649960441,0.5037593984962404,NaN,2.0793194096626726
0.9085714285714285,0.9338098571428572,0.3959002775393611,0.5037593984962406,0.5631395714285715,2.506784989400053
