TrainVal MAE,Validation MAE,Test MAE,TrainVal MSE,Validation MSE,Test MSE,TrainVal RMSE,Validation RMSE,Test RMSE,Execution Time
288.753325,297.06880625,284.25093125,601233.72295625,267735.58627499995,282403.93458124995,564.7006125,432.29923125,417.48589999999996,
308.00672499999996,292.59410625,295.84806875,476341.66705625,246581.02754374998,288841.40983749996,534.8103375000001,416.41831249999996,425.3747625,
306.74765625000003,291.49350000000004,281.99958749999996,555826.740425,240304.51395625,278194.44029374997,558.9132,410.1155124999999,416.45861249999996,
308.78575624999996,289.84912499999996,291.06769999999995,493309.27694375,243486.38245625,278812.87185625004,542.2835562500001,418.82422499999996,419.48566875,
342.33115625,291.3755625,290.06378125000003,701823.397875,239152.74145,275711.49898750003,637.63003125,414.81154374999994,415.92091250000004,
=average(A2:A6),=average(B2:B6),=average(C2:C6),=average(D2:D6),=average(E2:E6),=average(F2:F6),=average(G2:G6)
