Train MAE, Train MSE, Train RMSE, Test MAE, Test MSE, Test RMSE
80.85625,28356.032975,147.607825,724.3529625,8683024.803256249,1700.7164562500002
71.84951249999999,26998.1343875,140.71438125,658.730425,8405323.55651875,1574.60024375
63.011737499999995,19499.702575000003,123.85183125,686.29383125,8420728.6888375,1660.7474374999997
61.4128625,18899.32349375,121.065175,717.2285625000001,8804996.384074999,1685.6938187499998
75.25313125000001,29438.6152,147.332275,692.5541625,8463272.06699375,1591.07563125
72.57809375,29139.274375000005,143.68918125,757.121175,8740514.976881249,1766.30001875
52.98327499999999,11268.083837499998,105.8974125,671.7726375000001,8641435.889150001,1620.8439875
51.73008124999999,10729.573699999999,103.41798125,678.4072625000001,8392881.6822875,1640.4174125000002
53.89078749999999,11744.725031249998,108.06961874999999,688.5577875,8472115.82975,1650.16128125
61.85826875,20783.91775,125.1203125,645.6033625,8183333.5552,1563.49075
79.34885625000001,30503.236756250004,149.83949375,665.9615875000001,8232328.13885625,1566.3390062499998
79.00317500000001,30441.367812499997,149.53226875000001,667.2001437499999,8368100.042925,1590.6082625000001
61.41286249999999,18899.32349375,121.065175,634.7932125,6692898.524406251,1553.8179499999999
50.13120624999999,10129.19461875,100.63132499999998,683.9601750000002,8431002.94605625,1643.61361875
84.70716250000001,35212.55070625,160.25874374999998,682.88965,7581666.9269125005,1649.661925
79.34885625,30503.23675625,149.83949375,644.7397375,7986063.632818751,1530.21055
81.20193125,28417.901918749994,147.91505,695.79925,7935327.0883875005,1604.07583125
79.34885625000001,30503.236756249997,149.83949375,639.98869375,7916797.5973562505,1517.737875
60.259393749999994,20183.53866875,122.33365624999998,655.73385625,8400323.82691875,1589.3382625000002
75.5988125,29500.484143750004,147.6395,677.3466625,8045802.243375001,1600.16904375
52.07576249999998,10791.442643749999,103.72520624999999,674.9155312500001,8359425.594175001,1627.7761624999998
52.2919125,11144.34595,105.2829625,669.2373625,8380691.696687501,1628.5159812499999
52.291912499999995,11144.345949999999,105.28296250000001,699.94250625,8523325.1037625,1661.30629375
51.03871874999999,10605.8358125,102.80353125,682.6748375000001,8464969.120537499,1648.3848375
72.3884625,26256.815,138.90321875,641.697375,7416695.10741875,1568.6836374999998
73.65425625,28838.23611875,144.54561875,715.3994125,8712076.69640625,1680.8794687499997
100.38248125,57684.12973749999,199.6020625,675.69079375,7257423.905675,1627.76473125
116.93969999999999,76890.8510375,235.618025,367.38182499999994,2740869.254675,1079.3530625
116.93969999999999,76890.8510375,235.618025,367.38182499999994,2740869.254675,1079.3530625
116.93969999999999,76890.8510375,235.618025,367.38182499999994,2740869.254675,1079.3530625
63.35741874999999,19561.57151875,124.15905625,698.0932624999999,8616236.389125,1642.93519375
74.33301875000001,26919.063025,141.99710000000002,683.15906875,7656425.675062501,1653.1862812499999
116.93969999999999,76890.8510375,235.618025,367.38182499999994,2740869.254675,1079.3530625
116.93969999999999,76890.8510375,235.618025,367.38182499999994,2740869.254675,1079.3530625
61.4128625,18899.323493749995,121.06517500000001,700.3083750000001,8627495.41530625,1685.5705999999998
75.5988125,29500.48414375,147.6395,711.32598125,8446488.654250002,1691.30164375
73.42550624999998,26442.42183125,139.82489375,684.0396312499998,8337457.2871375,1591.5694
80.85625,28356.032974999995,147.60782500000002,733.8494562500001,8296639.337475,1709.8001125
116.93969999999999,76890.8510375,235.618025,367.38182499999994,2740869.254675,1079.3530625
116.93969999999999,76890.8510375,235.618025,367.38182499999994,2740869.254675,1079.3530625
72.19519375,27060.003331249998,141.02160625,672.6831687499998,8388216.66715,1647.9482500000001
