Train Accuracy, Train F1, Train WMSEnominal, Test Accuracy, Test F1, Test WMSEnominal
0.9838475499092556,NaN,0.47952020312584187,0.9344129554655871,NaN,2.083764217807211
0.9845735027223229,NaN,0.45606885420127724,0.9287449392712551,NaN,2.2402236440280867
0.9823956442831215,NaN,0.5264229009749711,0.9344129554655871,NaN,2.115684775638617
0.9838475499092556,NaN,0.5255620365658394,0.9400809716599191,NaN,2.1812790260733945
0.9799455535390199,NaN,0.5251327285351802,0.9327935222672066,NaN,2.2096898098523585
0.9831215970961886,NaN,0.4569297186104092,0.9279352226720649,NaN,1.8850552905840001
0.9838475499092558,NaN,0.4334783696858444,0.925506072874494,NaN,2.0662581712177244
0.9738656987295826,NaN,0.5950574672782151,0.9295546558704454,NaN,2.05225229972039
0.9831215970961891,NaN,0.4569297186104091,0.9246963562753038,NaN,2.178378092783754
0.9784029038112522,NaN,0.559997395574179,0.9295546558704454,NaN,1.9932819567058835
0.9784936479128854,NaN,0.5259935929443121,0.9319838056680162,NaN,1.9192518198659998
0.9816696914700543,NaN,0.5038324164595384,0.9279352226720649,NaN,2.159735126984334
0.9802177858439202,NaN,0.458651447428673,0.919838056680162,NaN,1.6506685141731867
0.9784936479128856,NaN,0.5259935929443121,0.9336032388663968,NaN,1.8727978001500487
0.9860254083484573,NaN,0.4552079897921452,0.9376518218623482,NaN,2.1244974048535625
0.9838475499092558,NaN,0.47952020312584187,0.9344129554655871,NaN,2.160722659505868
0.98529945553539,NaN,0.4786593387167099,0.9400809716599191,NaN,2.133830305195833
0.9838475499092558,NaN,0.43347836968584447,0.925506072874494,NaN,2.18222518631895
0.9831215970961886,NaN,0.4569297186104091,0.9263157894736843,NaN,2.036991082410316
0.9845735027223231,NaN,0.45606885420127724,0.9319838056680162,NaN,2.1352418308275483
0.9845735027223229,NaN,0.45606885420127724,0.9303643724696357,NaN,2.239283863744201
0.9867513611615243,NaN,0.4317566408675807,0.9384615384615385,NaN,2.071860323618391
0.9777676950998186,NaN,0.5494449418688769,0.9263157894736843,NaN,2.2046441599384847
0.9809437386569873,NaN,0.48124193194410575,0.9165991902834009,NaN,2.16526777729902
0.9709618874773139,NaN,0.5967791960964789,0.919838056680162,NaN,1.757681737218914
0.9809437386569875,NaN,0.48124193194410575,0.9214574898785426,NaN,2.028830299792667
0.9716878402903812,NaN,0.6193696806119117,0.9279352226720649,NaN,1.6301681525434717
0.9784936479128858,NaN,0.5259935929443121,0.9271255060728746,NaN,2.162217805401996
0.9845735027223227,NaN,0.45606885420127713,0.9303643724696357,NaN,2.242466331451125
0.9802177858439202,NaN,0.5046932808686704,0.9190283400809718,NaN,2.1481639365077596
0.976950998185118,NaN,0.560858259983311,0.9222672064777329,NaN,2.2608254463150232
0.9770417422867516,NaN,0.5268544573534439,0.9279352226720649,NaN,1.7554310219271678
0.9738656987295824,NaN,0.5950574672782152,0.9311740890688259,NaN,1.9095900681007272
