
oes10 ALL, 399.89345, 1754907.6286125001, 1027.85065, 1027.85065
oes10 INDEPENDENT, 434.582125, 2389361.692425, 1138.7908625, 1138.7908625
oes97 ALL, 271.5604125, 629090.45065, 526.453025, 526.453025
oes97 INDEPENDENT, 2171.8461625, 2.8491764140537504E7, 5247.472662499999, 5247.472662499999
rf1 ALL, 21.263824999999997, 1246.2081374999998, 29.21295, 29.21295, 
rf1 INDEPENDENT, 107.47392500000001, 15553.031224999999, 114.490725, 114.490725
rf2 ALL, 21.256375, 1245.9358625, 29.209162500000005, 29.209162500000005
rf2 INDEPENDENT, 107.4635, 15553.1463875, 114.49905000000001, 114.49905000000001
scm1d ALL, 158.720225, 45103.352549999996, 205.54108749999997, 205.54108749999997
scm1d INDEPENDENT, 264.228, 123990.60427499999, 314.3193, 314.3193
scm20d ALL, 235.3558875, 99210.2561875, 304.3467, 304.3467, 
scm20d INDEPENDENT, 291.146025, 139124.3752625, 351.972625, W351.972625
water-quality ALL, 0.822525, 1.867025, 1.334175, 1.334175
water-quality INDEPENDENT, 1.18485, 3.1681125, 1.7774749999999997, W1.7774749999999997
