Train MAE,Validation MAE,Test MAE,Train MSE,Validation MSE,Test MSE,Train RMSE,Validation RMSE,Test RMSE
549.1463187499999,780.7465812500002,1463.64500625,2440546.3036625003,4793033.828331251,1.5247711918843748E7,1008.0856937499998,1742.0071937500002,2914.53768125,
434.3229125000001,856.131225,952.4647874999999,1672538.11176875,6014839.28526875,5115934.531199999,860.05406875,1957.7041437499997,1801.4105125,
411.08682500000015,836.456325,963.8457125,1434423.7334,6022920.579993751,5205770.0297375,747.72970625,1976.44876875,1845.7350375,
411.08682500000015,847.8703437499998,974.385225,1434423.7334,5798605.049675001,5079686.65029375,747.72970625,1971.0372562500002,1866.5487937500002,
299.43973750000004,831.6060375,925.9308312500002,698270.7164,6150876.697281251,5740839.756206249,621.86075625,1957.2734375000002,1877.8460187500002,
=average(A2:A6),=average(B2:B6),=average(C2:C6),=average(D2:D6),=average(E2:E6),=average(F2:F6)
