MAE,MSE,RMSE
1463.64500625,1.5247711918843748E7,2914.53768125,
952.4647874999999,5115934.531199999,1801.4105125,
963.8457125,5205770.0297375,1845.7350375,
974.385225,5079686.65029375,1866.5487937500002,
925.9308312500002,5740839.756206249,1877.8460187500002,
=average(A2:A6),=average(B2:B6),=average(C2:C6)
