Train MAE,Validation MAE,Test MAE,Train MSE,Validation MSE,Test MSE,Train RMSE,Validation RMSE,Test RMSE,Execution Time
237.542575,257.35269374999996,218.92439375,979744.3547437501,237192.83009374997,235793.17645,628.0761812499999,415.50434375,376.568775,
195.18653750000001,375.70800625,167.53738749999997,524367.1937375001,997909.52690625,82850.51263124998,499.85516875,776.1818374999999,255.52892500000002,
192.64063125,325.32908750000007,172.20596875,839018.8671812499,878041.71208125,90336.06970625,542.4848625,673.03665625,258.93627499999997,
218.45691250000002,344.10753125,169.58435000000003,597677.24829375,721141.50506875,74523.47778125001,540.9797875,657.4854499999999,244.45534375000003,
180.49318125,352.95016250000003,172.517225,671543.5601562501,1516111.8913250002,86254.43691875,498.5811187500001,786.5124875,259.80115,
=average(A2:A6),=average(B2:B6),=average(C2:C6),=average(D2:D6),=average(E2:E6),=average(F2:F6),=average(G2:G6)
