Train MAE,Validation MAE,Test MAE,Train MSE,Validation MSE,Test MSE,Train RMSE,Validation RMSE,Test RMSE,Execution Time
199.6399375,248.75935625,256.95431250000007,405175.99805,244285.24860624998,570867.7132687499,465.1062,410.58403124999995,528.8409750000001,
167.38378749999998,298.64201875000003,194.33491874999999,280399.71281875006,487537.06308125,119430.42673125,423.39913125,563.75815,308.67126874999997,
183.468725,311.42924999999997,194.38049374999997,315974.42617500003,495495.62384375004,132191.27923125,460.3662125,562.1596375,322.9464125,
182.73605,298.34389375,198.63305625,284326.82090625004,451494.77736874996,129262.56677500001,447.22158125,539.4365625,324.81815624999996,
184.50679375,300.23273750000004,200.87581249999997,326919.2657,449404.89960625005,136282.38484999997,448.89639999999997,528.05893125,327.89588125,
=average(A2:A6),=average(B2:B6),=average(C2:C6),=average(D2:D6),=average(E2:E6),=average(F2:F6),=average(G2:G6)
