MAE,MSE,RMSE,Execution Time
790.9994375,5482221.17711875,1721.1852374999999,
784.30638125,5600584.668962499,1746.89744375,
752.3663250000001,4898029.31325,1595.0133937499998,
856.58128125,7155014.256181249,1866.3914249999998,
853.3569687500001,7346276.106231252,1916.40509375,
=average(A2:A6),=average(B2:B6),=average(C2:C6),=average(D2:D6)
