Train MAE, Train MSE, Train RMSE, Test MAE, Test MSE, Test RMSE
0.3111125,3.0820249999999993,1.4366,35.364325,2487.5034625,40.3689
0.31111250000000007,3.082025,1.4366,32.9894875,1922.7002375,37.1630375
0.277575,2.7390999999999996,1.2389500000000002,27.704924999999996,1866.63205,32.6062625
0.31753750000000003,2.6569249999999998,1.3284875000000003,48.565312500000005,4372.350325,53.859425
0.31579999999999997,2.6277124999999995,1.391525,104.4648,15410.0707375,111.95552500000001
0.2929875,2.6686374999999996,1.2836374999999998,68.1581875,7805.401175,72.952975
0.3063625,2.8428499999999994,1.3365874999999998,106.3332375,15451.8924,112.55928750000001
0.33295,2.5864624999999997,1.3731750000000003,81.57808750000001,10510.928437499999,87.50537500000002
0.3175375000000001,2.656925,1.3284875000000003,56.0588125,6816.113925000001,62.802025
0.3111125,3.082025,1.4366000000000003,34.873599999999996,2280.9501999999998,39.747524999999996
0.25675,2.4266875000000003,1.2216,20.1974375,921.926425,26.811950000000003
0.25675,2.4266875000000003,1.2216,20.1974375,921.926425,26.811950000000003
0.346325,2.760675,1.4261249999999999,77.66896249999999,9578.890137499999,82.86348749999999
0.31753750000000003,2.6569249999999998,1.3284875000000003,47.1852875,3984.9605500000007,51.840962499999996
0.2929875,2.6686375,1.2836374999999998,68.1581875,7942.0887,73.0164
0.2796125,2.4944249999999997,1.2306875,92.44401249999999,13045.469387500001,99.0006125
0.31065,2.930925,1.3835625,49.695825,5844.240200000001,54.999137499999996
0.277575,2.7390999999999996,1.2389500000000002,75.773475,9952.376587499999,81.47372499999999
0.31111250000000007,3.0820249999999993,1.4366,70.08715,9077.0196875,75.034625
0.31753750000000003,2.6569249999999998,1.3284875000000003,64.63755,7366.481449999999,70.397175
0.31579999999999997,2.6277124999999995,1.391525,104.4648,15410.0707375,111.95552500000001
0.2758375,2.7098875,1.3019874999999999,58.186237500000004,6167.705237500001,64.4270375
0.3158,2.6277125000000003,1.391525,88.381825,12353.823349999999,95.0248875
0.2758375,2.7098875,1.3019874999999999,78.512,10465.7389875,84.6434125
0.25675,2.4266875000000003,1.2216,20.1974375,921.926425,26.811950000000003
0.25675,2.4266875000000003,1.2216,20.1974375,921.926425,26.811950000000003
0.31579999999999997,2.6277124999999995,1.391525,104.4648,15410.0707375,111.95552500000001
0.31957500000000005,2.41225,1.320225,91.03918750000001,12138.03405,96.6808375
0.3506125,2.8487499999999994,1.4731,76.10133749999999,9885.706474999999,82.12700000000001
0.2929875,2.6686374999999996,1.2836374999999998,108.47319999999999,15988.895125,115.33500000000001
0.31753750000000003,2.656925,1.3284875000000003,49.337087499999996,5763.7282749999995,54.8842375
0.3111125,3.082025,1.4366,33.1921,2953.6896249999995,39.5049875
0.35061250000000005,2.8487500000000003,1.4731,95.9424375,14780.736412499999,102.10539999999999
0.33295,2.5864624999999997,1.373175,92.23405,12276.9215375,97.894325
0.35953750000000007,2.330075,1.4097625,85.72341250000001,11305.9452625,91.3253625
0.277575,2.7390999999999996,1.2389500000000002,75.773475,9943.8753,81.604075
0.277575,2.7390999999999996,1.2389500000000002,42.3058125,3258.1668875000005,47.532787500000005
0.277575,2.7390999999999996,1.2389500000000002,45.9353125,4728.159012499999,52.049162499999994
0.25675,2.4266875000000003,1.2216,20.1974375,921.926425,26.811950000000003
0.25675,2.4266875000000003,1.2216,20.1974375,921.926425,26.811950000000003
0.25675,2.4266875000000003,1.2216,20.1974375,921.926425,26.811950000000003
