Train AUROC, Train AUPRC, Test AUROC, Test AUPRC
0.816833,0.6595545714285713,0.5099317142857143,0.4642857142857143
0.7994954285714285,0.6196659999999999,0.5939887142857143,0.4642857142857143
0.7934514285714286,0.6660481428571429,0.552316,0.4642857142857143
0.7994954285714285,0.6196659999999999,0.5438961428571428,0.4642857142857143
0.7407584285714285,0.5788497142857142,0.5723891428571429,0.4642857142857143
0.7761138571428571,0.6261595714285714,0.5784428571428571,0.4642857142857143
0.7994954285714285,0.6196659999999999,0.5438961428571428,0.4642857142857143
0.7934514285714286,0.6660481428571429,0.552316,0.4642857142857143
0.7934514285714286,0.6660481428571429,0.5635442857142857,0.4642857142857143
0.7994954285714285,0.6196659999999999,0.5912087142857142,0.4642857142857143
0.7994954285714285,0.6196659999999999,0.5912087142857142,0.4642857142857143
0.7761138571428571,0.6261595714285714,0.5784428571428571,0.4642857142857143
0.7994954285714285,0.6196659999999999,0.5912087142857142,0.4642857142857143
0.7994954285714285,0.6196659999999999,0.5912087142857142,0.4642857142857143
0.7761138571428571,0.6261595714285714,0.5784428571428571,0.4642857142857143
0.7994954285714285,0.6196659999999999,0.5912087142857142,0.4642857142857143
0.7761138571428571,0.6261595714285714,0.5893411428571429,0.4642857142857143
0.7761138571428571,0.6261595714285714,0.5784428571428571,0.4642857142857143
0.7761138571428571,0.6261595714285714,0.5784428571428571,0.4642857142857143
0.7994954285714285,0.6196659999999999,0.5939887142857143,0.4642857142857143
0.7934514285714286,0.6660481428571429,0.5723497142857142,0.4642857142857143
0.7994954285714285,0.6196659999999999,0.56953,0.4642857142857143
0.7934514285714286,0.6660481428571429,0.515848,0.4642857142857143
0.7874074285714286,0.7124302857142857,0.46713400000000005,0.4642857142857143
0.8047450000000002,0.7523188571428572,0.4860754285714286,0.4642857142857143
0.7407584285714285,0.5788497142857142,0.5723891428571429,0.4642857142857143
0.758096,0.6187382857142857,0.5431098571428572,0.4642857142857143
0.7934514285714286,0.6660481428571429,0.5102978571428571,0.4642857142857143
0.7994954285714285,0.6196659999999999,0.5912087142857142,0.4642857142857143
