MAE,MSE,RMSE
354.76211874999996,991616.273475,611.7870937499999,
338.92278124999996,976287.671075,594.6698499999999,
337.4625875,946945.6942687501,580.60805625,
338.6279875,965191.4076875001,592.1151375000001,
336.03725,960562.0534812501,587.257175,
=average(A2:A6),=average(B2:B6),=average(C2:C6)
