MAE,MSE,RMSE
549.4721625,1496494.4976312502,891.15295625,
523.99995,1253660.51809375,801.1267750000001,
550.5937749999999,1208522.45773125,838.4725125,
546.1202375,1281255.5766875003,834.1852999999999,
533.95990625,1161674.4061375,795.6943749999998,
=average(A2:A6),=average(B2:B6),=average(C2:C6)
